时间,猪肉价格,仔猪价格,玉米市场价格,通货膨胀率CPI,鸡肉价格,存栏量
2000年3月,9.08,7.71,0.92,98.07670775,9.7,
2000年6月,10.17,7.79,0.94,99.24831117,9.3,
2000年9月,10.55,8.73,0.99,99.65843476,10.04,
2000年12月,10.92,8.52,1.03,100.7461754,9.67,41633.61
2001年3月,10.08,9.26,1.14,101.4911772,9.27,
2001年6月,10.45,8.51,1.23,99.97146049,9.34,
2001年9月,10.55,8.58,1.21,100.4672145,9.77,
2001年12月,10.83,8.77,1.1,100.667646,9.54,41950.5
2002年3月,9.8,8.95,1.07,100.7532709,9.6,
2002年6月,9.99,8.04,1.1,99.24831117,9.37,
2002年9月,10.17,8.3,1.11,99.83772604,9.67,
2002年12月,10.27,8.03,1.05,100.2371762,9.11,41776.2
2003年3月,9.61,8.44,1.13,101.6383321,9.14,
2003年6月,10.45,7.9,1.13,99.51630996,8.87,
2003年9月,12.51,8.71,1.14,100.9084018,9.64,
2003年12月,12.32,9.51,1.27,103.4517517,10.01,41381.8
2004年3月,13.07,11.38,1.31,104.6936831,10.24,
2004年6月,14.56,13.12,1.41,104.3761508,10.57,
2004年9月,14.37,16.06,1.42,106.0504326,10.86,
2004年12月,14.28,13.92,1.31,105.8380136,11.02,42123.4
2005年3月,13.35,15.12,1.3,107.4140504,11.28,
2005年6月,12.97,14.32,1.31,106.0226037,11.21,
2005年9月,11.76,12.72,1.33,106.9782914,11.04,
2005年12月,12.04,9.12,1.18,107.5123219,9.04,43319.11
2006年3月,10.55,8.86,1.29,108.3599867,9.58,
2006年6月,11.85,6.85,1.4,109.8751811,9.48,
2006年9月,13.25,9.53,1.43,111.9749178,10.84,
2006年12月,14.84,11.4,1.49,113.9970775,11.65,41854.43
2007年3月,15.77,12.73,1.55,115.5951786,11.85,
2007年6月,22.87,17.14,1.64,116.2893263,13.05,
2007年9月,22.21,23.55,1.68,118.0378526,13.98,
2007年12月,25.95,26.22,1.77,120.412917,13.45,43933.25
2008年3月,24.55,35.17,1.76,124.1509935,14.45,
2008年6月,23.05,34.5,1.77,123.5304878,14.48,
2008年9月,19.32,28.5,1.76,123.5303643,14.38,
2008年12月,20.44,19.42,1.59,121.930146,13.85,46433.12
2009年3月,15.59,19.69,1.55,122.6584348,13.72,
2009年6月,17.83,15.02,1.64,121.4356491,13.52,
2009年9月,18.29,18.76,1.84,122.5309987,13.98,
2009年12月,18.57,17.56,1.86,124.00345,13.98,47177.21
2010年3月,15.96,15.56,1.91,125.3607293,13.95,
2010年6月,19.23,14.36,2.09,124.7329243,13.75,
2010年9月,21.19,18.23,2.11,126.7391466,15.25,
2010年12月,22.87,18.63,2.12,129.6753612,15.98,46765.25
2011年3月,23.8,22.77,2.16,132.2786926,16.32,
2011年6月,29.68,31.05,2.28,132.9410124,16.92,
2011年9月,27.81,37.06,2.45,134.6765673,18.25,
2011年12月,27.16,29.45,2.36,134.9452463,17.35,47074.81
2012年3月,23.24,32.66,2.37,137.1061204,17.02,
2012年6月,22.77,30.52,2.49,135.7387586,16.72,
2012年9月,23.71,28.79,2.57,137.0998136,17.29,
2012年12月,26.23,25.99,2.42,138.1964739,17.69,48030.24
2013年3月,21.28,26.92,2.46,139.8437773,17.89,
2013年6月,24.55,27.06,2.45,139.282724,15.99,
2013年9月,24.92,29.86,2.49,141.2400697,17.32,
2013年12月,22.87,25.72,2.41,141.6636483,17.49,47893.14
2014年3月,20.81,22.79,2.37,143.0767078,16.82,
2014年6月,23.05,23.72,2.48,142.647335,18.19,
2014年9月,22.96,24.53,2.71,143.7909401,19.12,
2014年12月,21.93,20.12,2.47,143.9338683,19.02,47160.21
2015年3月,22.31,20.12,2.42,145.3675676,19.06,
2015年6月,27.91,27.6,2.47,144.7866788,18.42,
2015年9月,26.6,34.41,2.37,146.0930912,19.23,
2015年12月,28.75,29.48,2.14,146.383086,18.93,45802.89
2016年3月,30.89,40.69,2.04,148.8709661,19.09,
2016年6月,29.59,52.44,2.03,147.6825277,19.09,
2016年9月,28.37,45.63,2.04,149.1627517,19.13,
2016年12月,28.93,38.83,1.95,149.4609278,18.99,44209.17
2017年3月,26.51,43.77,1.83,150.2016651,17.29,
2017年6月,23.89,36.16,1.9,149.9011119,16.73,
2017年9月,24.64,34.29,1.97,151.4044731,18.49,
2017年12月,25.39,30.56,1.95,152.0105452,19.1,44158.92
2018年3月,20.72,27.62,2.06,153.0553453,19,
2018年6月,20.25,24.02,2.02,152.2912924,18.43,
2018年9月,23.53,25.62,2.05,154.8941253,19.5,
2018年12月,23.05,22.68,2.09,154.7383018,20.3,42817.11
2019年3月,24.45,30.3,2.02,156.4388448,20.03,
2019年6月,27.91,39.91,2.09,156.4386883,20.66,
2019年9月,50.4,55.93,2.14,159.5873692,24,
2019年12月,53.67,75.43,2.11,161.6677502,25.33,31041
2020年3月,54.73,91.32,2.13,163.2596369,22.77,
